date,states,cases,number
2020-02-09,wisconsin,confirmed,1
2020-02-09,wisconsin,deaths,0
2020-02-10,arizona,confirmed,1
2020-02-10,arizona,deaths,0
2020-02-10,california,confirmed,7
2020-02-10,california,deaths,0
2020-02-10,illinois,confirmed,2
2020-02-10,illinois,deaths,0
2020-02-10,massachusetts,confirmed,1
2020-02-10,massachusetts,deaths,0
2020-02-10,washington,confirmed,1
2020-02-10,washington,deaths,0
2020-02-10,wisconsin,confirmed,1
2020-02-10,wisconsin,deaths,0
2020-02-11,arizona,confirmed,1
2020-02-11,arizona,deaths,0
2020-02-11,california,confirmed,7
2020-02-11,california,deaths,0
2020-02-11,illinois,confirmed,2
2020-02-11,illinois,deaths,0
2020-02-11,massachusetts,confirmed,1
2020-02-11,massachusetts,deaths,0
2020-02-11,washington,confirmed,1
2020-02-11,washington,deaths,0
2020-02-11,wisconsin,confirmed,1
2020-02-11,wisconsin,deaths,0
2020-02-12,arizona,confirmed,1
2020-02-12,arizona,deaths,0
2020-02-12,california,confirmed,7
2020-02-12,california,deaths,0
2020-02-12,illinois,confirmed,2
2020-02-12,illinois,deaths,0
2020-02-12,massachusetts,confirmed,1
2020-02-12,massachusetts,deaths,0
2020-02-12,texas,confirmed,1
2020-02-12,texas,deaths,0
2020-02-12,washington,confirmed,1
2020-02-12,washington,deaths,0
2020-02-12,wisconsin,confirmed,1
2020-02-12,wisconsin,deaths,0
2020-02-13,arizona,confirmed,1
2020-02-13,arizona,deaths,0
2020-02-13,california,confirmed,7
2020-02-13,california,deaths,0
2020-02-13,illinois,confirmed,2
2020-02-13,illinois,deaths,0
2020-02-13,massachusetts,confirmed,1
2020-02-13,massachusetts,deaths,0
2020-02-13,texas,confirmed,2
2020-02-13,texas,deaths,0
2020-02-13,washington,confirmed,1
2020-02-13,washington,deaths,0
2020-02-13,wisconsin,confirmed,1
2020-02-13,wisconsin,deaths,0
2020-02-14,arizona,confirmed,1
2020-02-14,arizona,deaths,0
2020-02-14,california,confirmed,7
2020-02-14,california,deaths,0
2020-02-14,illinois,confirmed,2
2020-02-14,illinois,deaths,0
2020-02-14,massachusetts,confirmed,1
2020-02-14,massachusetts,deaths,0
2020-02-14,texas,confirmed,2
2020-02-14,texas,deaths,0
2020-02-14,washington,confirmed,1
2020-02-14,washington,deaths,0
2020-02-14,wisconsin,confirmed,1
2020-02-14,wisconsin,deaths,0
2020-02-15,arizona,confirmed,1
2020-02-15,arizona,deaths,0
2020-02-15,california,confirmed,7
